"Povpreène meseène plaèe po: STATISTIÈNA REGIJA, SKD DEJAVNOST, MESEC,"
"PLAÈE , MERITVE"

" ";" ";" ";"Bruto plaèa";" ";" ";" ";" ";" ";" ";" ";" ";"Neto plaèa";" ";" ";" ";" ";" ";" ";" ";" "
" ";" ";" ";"Plaèa za mesec [EUR]";"Plaèa za obdobje [EUR]";"Izredna izplaèila [za vse zaposlene osebe] [EUR]";"Izredna izplaèila [EUR]";"Plaèa za plaèano uro za mesec [EUR]";"Plaèa za plaèano uro za obdobje [EUR]";"Tekoèi mesec / prejšnji mesec";"Tekoèi mesec / isti mesec prejšnjega leta";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta";"Plaèa za mesec [EUR]";"Plaèa za obdobje [EUR]";"Izredna izplaèila [za vse zaposlene osebe] [EUR]";"Izredna izplaèila [EUR]";"Plaèa za plaèano uro za mesec [EUR]";"Plaèa za plaèano uro za obdobje [EUR]";"Tekoèi mesec / prejšnji mesec";"Tekoèi mesec / isti mesec prejšnjega leta";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta"
"SLOVENIJA"
" ";" ";"2008";1110.90;1110.90;-;-;6.39;6.39;101.30;103.10;103.10;753.10;753.10;-;-;4.33;4.33;101.80;103.30;103.30
" ";" ";"2009";1276.04;1276.04;-;-;7.64;7.64;95.30;114.90;114.90;852.49;852.49;-;-;5.10;5.10;96.20;113.20;113.20
" ";" ";"2010";1273.25;1273.25;7.78;700.00;7.80;7.80;99.70;99.80;99.80;845.47;845.47;-;-;5.18;5.18;99.20;99.20;99.20
" ";" ";"2011";1352.29;1352.29;0.04;0.41;8.30;8.30;98.00;106.20;106.20;906.59;906.59;-;-;5.56;5.56;98.60;107.20;107.20
" ";" ";"2012";1341.68;1341.68;-;-;8.20;8.20;102.10;99.20;99.20;899.23;899.23;-;-;5.49;5.49;102.00;99.20;99.20
" ";" ";"2013";1314.37;1314.37;-;-;7.71;7.71;100.90;98.00;98.00;888.19;888.19;-;-;5.21;5.21;101.00;98.80;98.80
" ";" ";"2014";1373.61;1373.61;-;-;7.81;7.81;100.30;104.50;104.50;923.58;923.58;-;-;5.25;5.25;99.90;104.00;104.00
" ";" ";"2015";1388.04;1388.04;-;-;8.15;8.15;101.90;101.10;101.10;944.40;944.40;-;-;5.54;5.54;102.90;102.30;102.30
" ";"S DRUGE DEJAVNOSTI"
" ";" ";"2005";1084.53;1084.53;-;-;6.40;6.40;93.20;100.30;100.30;694.00;694.00;-;-;4.09;4.09;93.20;100.30;100.30
" ";" ";"2006";1041.88;1041.88;-;-;6.22;6.22;90.00;96.10;96.10;673.59;673.59;-;-;4.02;4.02;90.90;97.10;97.10
" ";" ";"2007";900.98;900.98;-;-;6.02;6.02;81.20;86.50;86.50;606.74;606.74;-;-;4.05;4.05;82.90;90.10;90.10
" ";" ";"2008";1033.34;1033.34;-;-;6.45;6.45;94.70;114.70;114.70;676.41;676.41;-;-;4.23;4.23;95.20;111.50;111.50
" ";" ";"2009";1096.37;1096.37;-;-;6.52;6.52;97.50;106.10;106.10;748.70;748.70;-;-;4.45;4.45;99.50;110.70;110.70
" ";" ";"2010";1097.99;1097.99;-;-;7.10;7.10;84.30;100.10;100.10;738.63;738.63;-;-;4.78;4.78;84.40;98.70;98.70
" ";" ";"2011";1151.93;1151.93;-;-;7.46;7.46;94.50;104.90;104.90;779.76;779.76;-;-;5.05;5.05;97.20;105.60;105.60
" ";" ";"2012";1118.19;1118.19;-;-;7.16;7.16;96.10;97.10;97.10;757.89;757.89;-;-;4.85;4.85;98.00;97.20;97.20
" ";" ";"2013";1131.42;1131.42;-;-;7.00;7.00;102.70;101.20;101.20;758.34;758.34;-;-;4.69;4.69;102.60;100.10;100.10
" ";" ";"2014";1182.59;1182.59;-;-;7.62;7.62;100.20;104.50;104.50;793.97;793.97;-;-;5.12;5.12;100.50;104.70;104.70
" ";" ";"2015";1147.22;1147.22;-;-;7.39;7.39;104.10;97.00;97.00;779.40;779.40;-;-;5.02;5.02;104.40;98.20;98.20
"Podravska"
" ";"SKD Dejavnost"
" ";" ";"2005";1048.79;1048.79;-;-;6.26;6.26;94.90;105.50;105.50;684.09;684.09;-;-;4.08;4.08;95.90;107.70;107.70
" ";" ";"2006";1090.30;1090.30;-;-;6.35;6.35;97.80;104.00;104.00;709.01;709.01;-;-;4.13;4.13;98.30;103.60;103.60
" ";" ";"2007";1170.28;1170.28;-;-;6.61;6.61;99.40;107.30;107.30;773.87;773.87;-;-;4.37;4.37;99.70;109.10;109.10
" ";" ";"2008";1220.15;1220.15;-;-;6.90;6.90;99.10;104.30;104.30;808.39;808.39;-;-;4.57;4.57;100.10;104.50;104.50
" ";" ";"2009";1311.11;1311.11;6.27;216.77;7.69;7.69;97.80;107.50;107.50;861.75;861.75;-;-;5.05;5.05;98.40;106.60;106.60
" ";" ";"2010";1337.39;1337.39;5.38;185.73;8.13;8.13;97.30;102.00;102.00;876.14;876.14;-;-;5.33;5.33;98.20;101.70;101.70
" ";" ";"2011";1368.61;1368.61;5.79;233.46;8.34;8.34;97.90;102.30;102.30;902.45;902.45;-;-;5.50;5.50;98.40;103.00;103.00
" ";" ";"2012";1404.69;1404.69;9.14;257.09;8.29;8.29;99.60;102.60;102.60;924.76;924.76;-;-;5.46;5.46;100.00;102.50;102.50
" ";" ";"2013";1386.86;1386.86;5.03;181.45;7.95;7.95;99.10;98.70;98.70;920.47;920.47;-;-;5.28;5.28;99.50;99.50;99.50
" ";" ";"2014";1392.76;1392.76;3.87;175.36;7.97;7.97;99.70;100.40;100.40;923.79;923.79;-;-;5.29;5.29;99.80;100.40;100.40
" ";" ";"2015";1397.39;1397.39;7.04;262.11;8.30;8.30;98.80;100.30;100.30;925.74;925.74;-;-;5.50;5.50;99.10;100.20;100.20
" ";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO"
" ";" ";"2005";891.70;891.70;-;-;5.47;5.47;93.00;107.50;107.50;575.93;575.93;-;-;3.53;3.53;89.10;104.40;104.40
" ";" ";"2006";914.32;914.32;-;-;5.41;5.41;99.00;102.50;102.50;594.49;594.49;-;-;3.52;3.52;99.50;103.20;103.20
" ";" ";"2007";913.30;913.30;-;-;5.32;5.32;91.30;99.90;99.90;626.06;626.06;-;-;3.65;3.65;94.40;105.30;105.30
" ";" ";"2008";1068.06;1068.06;-;-;6.15;6.15;95.10;116.90;116.90;725.13;725.13;-;-;4.17;4.17;96.60;115.80;115.80
" ";" ";"2009";1083.21;1083.21;-;-;6.51;6.51;87.00;101.40;101.40;735.54;735.54;-;-;4.42;4.42;88.70;101.40;101.40
" ";" ";"2010";1125.36;1125.36;28.48;166.59;7.13;7.13;95.10;103.90;103.90;762.09;762.09;-;-;4.83;4.83;95.60;103.60;103.60
" ";" ";"2011";1182.86;1182.86;-;-;7.24;7.24;96.40;105.10;105.10;805.50;805.50;-;-;4.93;4.93;97.20;105.70;105.70
" ";" ";"2012";1166.08;1166.08;-;-;7.08;7.08;95.20;98.60;98.60;793.50;793.50;-;-;4.82;4.82;95.60;98.50;98.50
" ";" ";"2013";1285.46;1285.46;88.12;533.83;7.37;7.37;106.80;110.20;110.20;866.95;866.95;-;-;4.97;4.97;105.50;109.30;109.30
" ";" ";"2014";1200.69;1200.69;-;-;7.02;7.02;94.90;93.40;93.40;815.63;815.63;-;-;4.77;4.77;95.10;94.10;94.10
" ";" ";"2015";1204.38;1204.38;-;-;7.23;7.23;92.90;100.30;100.30;826.75;826.75;-;-;4.96;4.96;93.80;101.40;101.40
" ";"B RUDARSTVO"
" ";" ";"2005";702.13;702.13;-;-;4.13;4.13;78.20;96.40;96.40;494.90;494.90;-;-;2.91;2.91;81.90;99.70;99.70
" ";" ";"2006";885.39;885.39;-;-;5.32;5.32;103.40;126.10;126.10;601.53;601.53;-;-;3.61;3.61;103.10;121.50;121.50
" ";" ";"2007";1000.05;1000.05;-;-;5.54;5.54;120.20;113.00;113.00;676.91;676.91;-;-;3.75;3.75;118.20;112.50;112.50
" ";" ";"2008";1196.55;1196.55;-;-;6.66;6.66;104.60;119.60;119.60;794.92;794.92;-;-;4.43;4.43;104.60;117.40;117.40
" ";" ";"2009";1215.92;1215.92;-;-;6.82;6.82;96.80;101.60;101.60;809.84;809.84;-;-;4.55;4.55;97.20;101.90;101.90
" ";" ";"2010";1033.38;1033.38;-;-;6.23;6.23;85.30;85.00;85.00;702.56;702.56;-;-;4.23;4.23;87.70;86.80;86.80
" ";" ";"2011";1124.27;1124.27;-;-;6.77;6.77;90.30;108.80;108.80;764.14;764.14;-;-;4.60;4.60;91.60;108.80;108.80
" ";" ";"2012";1053.24;1053.24;-;-;5.95;5.95;103.20;93.70;93.70;727.24;727.24;-;-;4.11;4.11;104.00;95.20;95.20
" ";" ";"2013";971.03;971.03;-;-;5.39;5.39;98.20;92.20;92.20;682.41;682.41;-;-;3.79;3.79;99.90;93.80;93.80
" ";" ";"2014";1017.53;1017.53;-;-;5.92;5.92;96.60;104.80;104.80;705.53;705.53;-;-;4.10;4.10;96.90;103.40;103.40
" ";" ";"2015";1040.39;1040.39;-;-;6.05;6.05;101.30;102.20;102.20;719.91;719.91;-;-;4.19;4.19;101.10;102.00;102.00
" ";"C PREDELOVALNE DEJAVNOSTI"
" ";" ";"2005";856.66;856.66;-;-;5.09;5.09;95.80;103.50;103.50;576.50;576.50;-;-;3.42;3.42;96.40;106.30;106.30
" ";" ";"2006";925.83;925.83;-;-;5.33;5.33;100.10;108.10;108.10;618.87;618.87;-;-;3.57;3.57;100.00;107.30;107.30
" ";" ";"2007";1035.62;1035.62;-;-;5.77;5.77;102.40;111.90;111.90;695.31;695.31;-;-;3.88;3.88;101.90;112.40;112.40
" ";" ";"2008";1061.81;1061.81;-;-;5.93;5.93;100.00;102.50;102.50;718.07;718.07;-;-;4.01;4.01;102.20;103.30;103.30
" ";" ";"2009";1086.10;1086.10;2.88;105.76;6.34;6.34;97.20;102.30;102.30;734.05;734.05;-;-;4.28;4.28;98.10;102.20;102.20
" ";" ";"2010";1110.96;1110.96;3.70;184.62;6.74;6.74;98.40;102.30;102.30;750.38;750.38;-;-;4.55;4.55;98.70;102.20;102.20
" ";" ";"2011";1159.39;1159.39;5.72;216.75;6.98;6.98;97.70;104.40;104.40;786.53;786.53;-;-;4.74;4.74;98.20;104.80;104.80
" ";" ";"2012";1207.67;1207.67;6.40;111.70;7.06;7.06;100.10;104.20;104.20;815.46;815.46;-;-;4.76;4.76;100.20;103.70;103.70
" ";" ";"2013";1249.19;1249.19;0.60;31.90;7.05;7.05;101.00;103.40;103.40;842.40;842.40;-;-;4.75;4.75;100.90;103.30;103.30
" ";" ";"2014";1273.55;1273.55;6.45;247.85;7.20;7.20;101.50;102.00;102.00;856.94;856.94;-;-;4.84;4.84;101.50;101.70;101.70
" ";" ";"2015";1290.92;1290.92;9.16;369.16;7.53;7.53;99.00;101.40;101.40;864.46;864.46;-;-;5.05;5.05;99.30;100.90;100.90
" ";"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO"
" ";" ";"2005";1377.83;1377.83;-;-;7.49;7.49;66.90;114.30;114.30;867.72;867.72;-;-;4.72;4.72;69.70;113.80;113.80
" ";" ";"2006";1472.32;1472.32;-;-;7.41;7.41;89.40;106.90;106.90;931.11;931.11;-;-;4.68;4.68;91.40;107.30;107.30
" ";" ";"2007";1501.50;1501.50;-;-;7.91;7.91;89.20;102.00;102.00;1064.74;1064.74;-;-;5.61;5.61;91.40;114.40;114.40
" ";" ";"2008";1632.31;1632.31;-;-;8.61;8.61;83.20;108.70;108.70;1143.21;1143.21;-;-;6.03;6.03;83.60;107.40;107.40
" ";" ";"2009";1804.58;1804.58;-;-;10.16;10.16;84.80;110.60;110.60;1265.04;1265.04;-;-;7.12;7.12;91.60;110.70;110.70
" ";" ";"2010";2070.14;2070.14;223.12;407.46;12.61;12.61;74.20;114.70;114.70;1280.52;1280.52;-;-;7.80;7.80;90.10;101.20;101.20
" ";" ";"2011";1886.94;1886.94;-;-;11.55;11.55;76.10;91.20;91.20;1303.90;1303.90;-;-;7.98;7.98;81.40;101.80;101.80
" ";" ";"2012";1954.80;1954.80;-;-;11.42;11.42;80.00;103.60;103.60;1236.25;1236.25;-;-;7.22;7.22;83.20;94.80;94.80
" ";" ";"2013";2041.20;2041.20;-;-;11.43;11.43;87.20;104.40;104.40;1291.59;1291.59;-;-;7.23;7.23;89.60;104.50;104.50
" ";" ";"2014";2122.23;2122.23;3.77;215.57;11.66;11.66;95.00;104.00;104.00;1334.60;1334.60;-;-;7.34;7.34;96.00;103.30;103.30
" ";" ";"2015";2149.46;2149.46;57.10;255.29;12.47;12.47;101.20;101.30;101.30;1346.85;1346.85;-;-;7.81;7.81;101.10;100.90;100.90
" ";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA"
" ";" ";"2005";1118.24;1118.24;-;-;6.58;6.58;89.60;108.60;108.60;718.87;718.87;-;-;4.23;4.23;90.90;109.80;109.80
" ";" ";"2006";1175.89;1175.89;-;-;6.72;6.72;100.00;105.20;105.20;759.04;759.04;-;-;4.34;4.34;100.30;105.60;105.60
" ";" ";"2007";1244.67;1244.67;-;-;6.82;6.82;90.00;105.80;105.80;812.56;812.56;-;-;4.45;4.45;91.10;107.10;107.10
" ";" ";"2008";1277.25;1277.25;-;-;7.08;7.08;88.50;102.60;102.60;844.96;844.96;-;-;4.68;4.68;90.70;104.00;104.00
" ";" ";"2009";1380.73;1380.73;35.57;293.48;7.93;7.93;96.20;108.10;108.10;906.69;906.69;-;-;5.21;5.21;97.00;107.30;107.30
" ";" ";"2010";1311.66;1311.66;-;-;7.85;7.85;94.50;95.00;95.00;869.60;869.60;-;-;5.20;5.20;95.40;95.90;95.90
" ";" ";"2011";1345.66;1345.66;-;-;8.11;8.11;95.00;102.60;102.60;903.95;903.95;-;-;5.45;5.45;97.00;104.00;104.00
" ";" ";"2012";1392.69;1392.69;-;-;8.15;8.15;97.20;103.50;103.50;921.43;921.43;-;-;5.39;5.39;97.90;101.90;101.90
" ";" ";"2013";1421.99;1421.99;-;-;7.98;7.98;98.50;102.10;102.10;943.46;943.46;-;-;5.29;5.29;99.20;102.40;102.40
" ";" ";"2014";1416.62;1416.62;-;-;7.94;7.94;93.60;99.60;99.60;939.20;939.20;-;-;5.26;5.26;94.10;99.50;99.50
" ";" ";"2015";1446.56;1446.56;-;-;8.30;8.30;94.20;102.10;102.10;955.42;955.42;-;-;5.48;5.48;94.90;101.70;101.70
" ";"F GRADBENIŠTVO"
" ";" ";"2005";871.62;871.62;-;-;5.09;5.09;92.30;104.50;104.50;576.45;576.45;-;-;3.37;3.37;92.80;105.90;105.90
" ";" ";"2006";923.07;923.07;-;-;5.21;5.21;92.80;105.90;105.90;610.54;610.54;-;-;3.45;3.45;95.50;105.90;105.90
" ";" ";"2007";1021.24;1021.24;-;-;5.60;5.60;98.50;110.60;110.60;677.73;677.73;-;-;3.72;3.72;99.50;111.00;111.00
" ";" ";"2008";1103.85;1103.85;-;-;6.06;6.06;103.00;108.10;108.10;731.98;731.98;-;-;4.02;4.02;103.30;108.00;108.00
" ";" ";"2009";1130.26;1130.26;1.30;2809.25;6.57;6.57;98.30;102.40;102.40;752.07;752.07;-;-;4.37;4.37;99.00;102.70;102.70
" ";" ";"2010";1126.27;1126.27;-;-;6.67;6.67;95.50;99.60;99.60;737.49;737.49;-;-;4.37;4.37;96.00;98.10;98.10
" ";" ";"2011";1157.49;1157.49;-;-;7.09;7.09;98.00;102.80;102.80;762.24;762.24;-;-;4.67;4.67;96.80;103.40;103.40
" ";" ";"2012";1123.95;1123.95;0.20;1135.00;6.70;6.70;98.50;97.10;97.10;758.05;758.05;-;-;4.52;4.52;98.90;99.50;99.50
" ";" ";"2013";1080.39;1080.39;0.54;1088.33;6.37;6.37;100.90;96.10;96.10;732.45;732.45;-;-;4.32;4.32;101.70;96.60;96.60
" ";" ";"2014";1090.12;1090.12;1.25;794.78;6.44;6.44;100.70;100.90;100.90;737.57;737.57;-;-;4.36;4.36;100.40;100.70;100.70
" ";" ";"2015";1071.16;1071.16;0.34;511.25;6.59;6.59;96.50;98.30;98.30;727.81;727.81;-;-;4.48;4.48;96.40;98.70;98.70
" ";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL"
" ";" ";"2005";863.59;863.59;-;-;5.18;5.18;90.90;103.60;103.60;570.90;570.90;-;-;3.42;3.42;91.40;105.30;105.30
" ";" ";"2006";901.79;901.79;-;-;5.35;5.35;96.30;104.40;104.40;598.51;598.51;-;-;3.55;3.55;97.20;104.80;104.80
" ";" ";"2007";964.15;964.15;-;-;5.51;5.51;96.50;106.90;106.90;648.48;648.48;-;-;3.71;3.71;97.80;108.30;108.30
" ";" ";"2008";1032.36;1032.36;-;-;5.92;5.92;98.70;107.10;107.10;693.63;693.63;-;-;3.98;3.98;99.10;107.00;107.00
" ";" ";"2009";1092.44;1092.44;10.53;1062.64;6.47;6.47;96.00;105.80;105.80;731.38;731.38;-;-;4.33;4.33;96.70;105.40;105.40
" ";" ";"2010";1091.01;1091.01;7.36;430.46;6.68;6.68;95.00;99.90;99.90;730.37;730.37;-;-;4.47;4.47;95.50;99.90;99.90
" ";" ";"2011";1145.95;1145.95;14.73;1175.87;7.05;7.05;97.80;105.00;105.00;771.50;771.50;-;-;4.75;4.75;98.60;105.60;105.60
" ";" ";"2012";1184.45;1184.45;16.06;837.77;7.08;7.08;98.90;103.40;103.40;795.92;795.92;-;-;4.76;4.76;99.20;103.20;103.20
" ";" ";"2013";1181.06;1181.06;15.85;1348.44;6.84;6.84;99.90;99.70;99.70;796.89;796.89;-;-;4.62;4.62;99.80;100.10;100.10
" ";" ";"2014";1185.26;1185.26;2.68;248.45;6.88;6.88;97.20;100.40;100.40;797.41;797.41;-;-;4.63;4.63;97.70;100.10;100.10
" ";" ";"2015";1191.94;1191.94;8.19;970.39;7.14;7.14;97.90;100.60;100.60;802.40;802.40;-;-;4.81;4.81;98.10;100.60;100.60
" ";"H PROMET IN SKLADIŠÈENJE"
" ";" ";"2005";1186.72;1186.72;-;-;7.07;7.07;105.40;114.90;114.90;788.56;788.56;-;-;4.70;4.70;106.30;118.00;118.00
" ";" ";"2006";1122.15;1122.15;-;-;6.55;6.55;98.70;94.60;94.60;741.34;741.34;-;-;4.33;4.33;98.80;94.00;94.00
" ";" ";"2007";1192.30;1192.30;-;-;6.76;6.76;100.90;106.30;106.30;803.37;803.37;-;-;4.56;4.56;101.10;108.40;108.40
" ";" ";"2008";1269.37;1269.37;-;-;7.23;7.23;101.20;106.50;106.50;851.45;851.45;-;-;4.85;4.85;101.70;106.00;106.00
" ";" ";"2009";1307.29;1307.29;1.15;315.65;7.65;7.65;100.80;103.00;103.00;868.65;868.65;-;-;5.08;5.08;101.00;102.00;102.00
" ";" ";"2010";1302.28;1302.28;-;-;7.97;7.97;100.30;99.60;99.60;872.66;872.66;-;-;5.34;5.34;100.60;100.50;100.50
" ";" ";"2011";1294.62;1294.62;-;-;7.84;7.84;97.20;99.40;99.40;868.07;868.07;-;-;5.26;5.26;99.00;99.50;99.50
" ";" ";"2012";1387.93;1387.93;1.99;621.43;8.17;8.17;101.80;107.20;107.20;924.23;924.23;-;-;5.44;5.44;101.40;106.50;106.50
" ";" ";"2013";1373.62;1373.62;-;-;7.96;7.96;103.00;99.00;99.00;919.99;919.99;-;-;5.33;5.33;103.40;99.50;99.50
" ";" ";"2014";1395.62;1395.62;1.14;1679.00;8.09;8.09;102.50;101.60;101.60;929.45;929.45;-;-;5.39;5.39;102.10;101.00;101.00
" ";" ";"2015";1410.47;1410.47;-;-;8.41;8.41;101.90;101.10;101.10;936.83;936.83;-;-;5.58;5.58;101.40;100.80;100.80
" ";"I GOSTINSTVO"
" ";" ";"2005";755.08;755.08;-;-;4.68;4.68;93.30;100.30;100.30;509.31;509.31;-;-;3.16;3.16;93.60;103.00;103.00
" ";" ";"2006";778.41;778.41;-;-;4.88;4.88;100.40;103.10;103.10;528.58;528.58;-;-;3.32;3.32;100.60;103.80;103.80
" ";" ";"2007";808.79;808.79;-;-;4.93;4.93;100.20;103.90;103.90;556.40;556.40;-;-;3.39;3.39;100.40;105.30;105.30
" ";" ";"2008";852.28;852.28;-;-;5.22;5.22;99.70;105.40;105.40;586.95;586.95;-;-;3.59;3.59;100.00;105.50;105.50
" ";" ";"2009";934.46;934.46;-;-;5.81;5.81;101.60;109.60;109.60;639.72;639.72;-;-;3.98;3.98;101.70;109.00;109.00
" ";" ";"2010";926.04;926.04;1.02;66.47;5.93;5.93;100.00;99.10;99.10;630.93;630.93;-;-;4.04;4.04;99.80;98.60;98.60
" ";" ";"2011";998.67;998.67;-;-;6.47;6.47;102.50;107.80;107.80;689.17;689.17;-;-;4.47;4.47;103.20;109.20;109.20
" ";" ";"2012";963.24;963.24;-;-;6.13;6.13;102.40;96.50;96.50;668.77;668.77;-;-;4.25;4.25;102.00;97.00;97.00
" ";" ";"2013";937.04;937.04;0.00;7.00;5.88;5.88;99.80;97.30;97.30;656.68;656.68;-;-;4.12;4.12;100.30;98.20;98.20
" ";" ";"2014";932.84;932.84;-;-;5.81;5.81;99.50;99.60;99.60;652.69;652.69;-;-;4.07;4.07;99.50;99.40;99.40
" ";" ";"2015";910.72;910.72;-;-;5.97;5.97;96.20;97.60;97.60;639.91;639.91;-;-;4.20;4.20;97.00;98.00;98.00
" ";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI"
" ";" ";"2005";1413.47;1413.47;-;-;8.39;8.39;79.60;101.50;101.50;889.49;889.49;-;-;5.28;5.28;82.50;104.00;104.00
" ";" ";"2006";1476.12;1476.12;-;-;8.54;8.54;79.50;104.40;104.40;923.16;923.16;-;-;5.34;5.34;82.70;103.80;103.80
" ";" ";"2007";1604.50;1604.50;-;-;8.96;8.96;104.50;108.70;108.70;1025.57;1025.57;-;-;5.73;5.73;102.80;111.10;111.10
" ";" ";"2008";1596.41;1596.41;-;-;8.93;8.93;92.70;99.50;99.50;1023.01;1023.01;-;-;5.72;5.72;93.00;99.80;99.80
" ";" ";"2009";1652.64;1652.64;8.18;660.80;9.64;9.64;91.60;103.50;103.50;1062.86;1062.86;-;-;6.20;6.20;92.30;103.90;103.90
" ";" ";"2010";1665.99;1665.99;2.64;919.33;10.13;10.13;94.80;100.80;100.80;1072.64;1072.64;-;-;6.52;6.52;95.40;100.90;100.90
" ";" ";"2011";1720.29;1720.29;4.44;304.50;10.43;10.43;94.70;103.30;103.30;1111.90;1111.90;-;-;6.74;6.74;95.70;103.70;103.70
" ";" ";"2012";1807.26;1807.26;40.23;852.66;10.54;10.54;102.20;105.10;105.10;1166.47;1166.47;-;-;6.81;6.81;103.60;104.90;104.90
" ";" ";"2013";1791.54;1791.54;3.73;223.33;10.11;10.11;94.60;99.10;99.10;1161.39;1161.39;-;-;6.56;6.56;95.60;99.60;99.60
" ";" ";"2014";1790.97;1790.97;4.06;213.35;10.15;10.15;95.20;100.00;100.00;1164.80;1164.80;-;-;6.60;6.60;96.00;100.30;100.30
" ";" ";"2015";1798.84;1798.84;-;-;10.54;10.54;95.10;100.40;100.40;1167.00;1167.00;-;-;6.84;6.84;95.80;100.20;100.20
" ";"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI"
" ";" ";"2005";1521.62;1521.62;-;-;9.26;9.26;90.20;104.40;104.40;929.52;929.52;-;-;5.66;5.66;91.40;105.90;105.90
" ";" ";"2006";1629.06;1629.06;-;-;9.49;9.49;99.20;107.10;107.10;988.07;988.07;-;-;5.76;5.76;99.20;106.30;106.30
" ";" ";"2007";1794.12;1794.12;-;-;10.00;10.00;99.30;110.10;110.10;1112.07;1112.07;-;-;6.20;6.20;99.40;112.50;112.50
" ";" ";"2008";1872.58;1872.58;-;-;10.52;10.52;102.20;104.40;104.40;1160.72;1160.72;-;-;6.52;6.52;102.90;104.40;104.40
" ";" ";"2009";1928.89;1928.89;-;-;11.37;11.37;97.50;103.00;103.00;1194.87;1194.87;-;-;7.04;7.04;98.70;102.90;102.90
" ";" ";"2010";1945.29;1945.29;0.26;71.77;11.93;11.93;96.60;100.90;100.90;1209.19;1209.19;-;-;7.41;7.41;97.50;101.20;101.20
" ";" ";"2011";2027.75;2027.75;35.64;176.27;12.42;12.42;98.40;104.20;104.20;1253.13;1253.13;-;-;7.67;7.67;99.00;103.60;103.60
" ";" ";"2012";2117.22;2117.22;108.42;628.92;12.51;12.51;101.20;104.40;104.40;1304.66;1304.66;-;-;7.71;7.71;102.30;104.10;104.10
" ";" ";"2013";2038.12;2038.12;20.27;108.16;11.57;11.57;93.70;96.30;96.30;1276.95;1276.95;-;-;7.25;7.25;95.90;97.90;97.90
" ";" ";"2014";2066.32;2066.32;7.46;38.17;11.94;11.94;101.00;101.40;101.40;1293.91;1293.91;-;-;7.48;7.48;100.80;101.30;101.30
" ";" ";"2015";2023.65;2023.65;25.77;105.65;12.07;12.07;97.90;97.90;97.90;1272.58;1272.58;-;-;7.59;7.59;99.50;98.40;98.40
" ";"L POSLOVANJE Z NEPREMIÈNINAMI"
" ";" ";"2005";1329.92;1329.92;-;-;8.08;8.08;107.40;128.50;128.50;823.10;823.10;-;-;5.00;5.00;108.80;130.30;130.30
" ";" ";"2006";1197.37;1197.37;-;-;7.00;7.00;93.80;90.00;90.00;749.04;749.04;-;-;4.38;4.38;96.60;91.00;91.00
" ";" ";"2007";1242.21;1242.21;-;-;7.06;7.06;96.10;103.70;103.70;803.82;803.82;-;-;4.57;4.57;97.70;107.30;107.30
" ";" ";"2008";1322.88;1322.88;-;-;7.60;7.60;97.20;106.50;106.50;857.21;857.21;-;-;4.92;4.92;97.20;106.60;106.60
" ";" ";"2009";1366.13;1366.13;-;-;8.07;8.07;97.60;103.30;103.30;885.22;885.22;-;-;5.23;5.23;98.20;103.30;103.30
" ";" ";"2010";1367.26;1367.26;-;-;8.35;8.35;97.20;100.10;100.10;892.61;892.61;-;-;5.45;5.45;97.70;100.80;100.80
" ";" ";"2011";1347.10;1347.10;-;-;8.35;8.35;97.50;98.50;98.50;891.28;891.28;-;-;5.52;5.52;97.30;99.90;99.90
" ";" ";"2012";1352.86;1352.86;-;-;8.12;8.12;94.30;100.40;100.40;892.86;892.86;-;-;5.36;5.36;96.70;100.20;100.20
" ";" ";"2013";1380.70;1380.70;-;-;8.00;8.00;93.10;102.10;102.10;914.43;914.43;-;-;5.30;5.30;95.70;102.40;102.40
" ";" ";"2014";1391.63;1391.63;-;-;7.98;7.98;95.40;100.80;100.80;924.89;924.89;-;-;5.31;5.31;95.90;101.10;101.10
" ";" ";"2015";1408.36;1408.36;-;-;8.37;8.37;94.60;101.20;101.20;932.75;932.75;-;-;5.54;5.54;95.50;100.80;100.80
" ";"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI"
" ";" ";"2005";1171.57;1171.57;-;-;7.04;7.04;85.60;101.40;101.40;742.05;742.05;-;-;4.46;4.46;87.50;104.00;104.00
" ";" ";"2006";1246.58;1246.58;-;-;7.32;7.32;98.80;106.40;106.40;788.30;788.30;-;-;4.63;4.63;99.40;106.20;106.20
" ";" ";"2007";1317.97;1317.97;-;-;7.51;7.51;97.40;105.70;105.70;853.96;853.96;-;-;4.87;4.87;98.20;108.30;108.30
" ";" ";"2008";1458.04;1458.04;-;-;8.30;8.30;99.50;110.60;110.60;938.38;938.38;-;-;5.34;5.34;99.80;109.90;109.90
" ";" ";"2009";1551.26;1551.26;29.93;933.38;9.21;9.21;95.00;106.40;106.40;989.29;989.29;-;-;5.87;5.87;95.40;105.40;105.40
